line_no,section_context,raw_line,days,time_ranges,course_codes,professors,groups,rooms
368,3rd Year — Semester 3-1 (2021 Batch) > Monday > Section: CSE1 (62) (265 students),- **3:35 -4:30p.m.**: CS/AI3103 (Data base management system) Dr.  Prafulla (Auditorium),Monday,3:35 -4,CS/AI3103,Dr. Prafulla,,Auditorium
369,3rd Year — Semester 3-1 (2021 Batch) > Monday > Section: CSE1 (62) (265 students),- **4:35 -5:30p.m.**: CS 3106 (Microprocessors and Interfacing) Dr. Praveen (ELT 4),Monday,4:35 -5,CS 3106,Dr. Praveen,,ELT4
375,3rd Year — Semester 3-1 (2021 Batch) > Monday > Section: CSE3 (62),- **1:35 -2:30p.m.**: CS/AI 3102 (P) (Operating system)  (IT2 block),Monday,1:35 -2,CS/AI 3102,,,IT2 Block
381,3rd Year — Semester 3-1 (2021 Batch) > Monday > Section: CM (19),- **09:25 – 10:20 a.m.**: MA3115 (Computational Methods for PDE) Dr. Satyanarayan (ECR 11),Monday,09:25 – 10:20,ECR 11; MA3115,Dr. Satyanarayan,,ECR11
382,3rd Year — Semester 3-1 (2021 Batch) > Monday > Section: CM (19),- **10:35-11:30 a.m**: MA3116 (Financial Maths) Dr. Manoj (ECR 15),Monday,10:35-11:30,ECR 15; MA3116,Dr. Manoj,,ECR15
383,3rd Year — Semester 3-1 (2021 Batch) > Monday > Section: CM (19),- **11:35 am- 12:30 pm**: MA3117 (Advanced Linear Algebra ) Dr. Ravi Babu (ECR 15),Monday,11:35 am- 12:30 pm,ECR 15; MA3117,Dr. Ravi Babu,,ECR15
387,3rd Year — Semester 3-1 (2021 Batch) > Monday > Section: ECM (79) (328 students),- **08:25 – 9:20 a.m.**: EC 3109 (P)(Digital Signal Processing),Monday,08:25 – 9:20,EC 3109,,,
388,3rd Year — Semester 3-1 (2021 Batch) > Monday > Section: ECM (79) (328 students),- **10:35-11:30 a.m**: EC 3107 (Web Technologies)  Dr. Yashwanth (ECR 5),Monday,10:35-11:30,EC 3107,Dr. Yashwanth,,ECR5
389,3rd Year — Semester 3-1 (2021 Batch) > Monday > Section: ECM (79) (328 students),- **11:35 am- 12:30 pm**: EC3101 (Optimization Techniques for AI) Dr. Bhanu Kiran ( ECR 5),Monday,11:35 am- 12:30 pm,EC3101,Dr. Bhanu Kiran,,ECR5
390,3rd Year — Semester 3-1 (2021 Batch) > Monday > Section: ECM (79) (328 students),- **1:35 -2:30p.m.**: EC 3103 (Programmable devices) Dr. Bharghava (ECR 5),Monday,1:35 -2,EC 3103,Dr. Bharghava,,ECR5
391,3rd Year — Semester 3-1 (2021 Batch) > Monday > Section: ECM (79) (328 students),- **2:35 -3:30p.m.**: EC 3109 (Digital Signal Processing) Dr. Subbarao (ECR 5),Monday,2:35 -3,EC 3109,Dr. Subbarao,,ECR5
392,3rd Year — Semester 3-1 (2021 Batch) > Monday > Section: ECM (79) (328 students),- **4:35 -5:30p.m.**: EC 3103 (P) (Programmable devices),Monday,4:35 -5,EC 3103,,,
396,3rd Year — Semester 3-1 (2021 Batch) > Monday > Section: AI1 (65),- **08:25 – 9:20 a.m.**: AI 3105 (P) (Computer Network-Lite) (IT2 block),Monday,08:25 – 9:20,AI 3105,,,IT2 Block
397,3rd Year — Semester 3-1 (2021 Batch) > Monday > Section: AI1 (65),- **11:35 am- 12:30 pm**: AI 3105 (Computer Network-Lite) Dr. Mahesh (ELT 1),Monday,11:35 am- 12:30 pm,AI 3105,Dr. Mahesh,,ELT1
398,3rd Year — Semester 3-1 (2021 Batch) > Monday > Section: AI1 (65),- **1:35 -2:30p.m.**: CS/AI 3102(Operating system) Dr. Neeraj (ELT 2),Monday,1:35 -2,CS/AI 3102,Dr. Neeraj,,ELT2
399,3rd Year — Semester 3-1 (2021 Batch) > Monday > Section: AI1 (65),- **2:35 -3:30p.m.**: AI 3106 (T1 Foundation of NLP) Dr. Avinash (ELT 2),Monday,2:35 -3,AI 3106,Dr. Avinash,,ELT2
400,3rd Year — Semester 3-1 (2021 Batch) > Monday > Section: AI1 (65),- **4:35 -5:30p.m.**: CS/AI 3102 (P) (Operating system) (IT2 block),Monday,4:35 -5,CS/AI 3102,,,IT2 Block
408,3rd Year — Semester 3-1 (2021 Batch) > Monday > Section: CE (17),- **09:25 – 10:20 a.m.**: CE3113 (Reinforced Concrete Design) Dr. JayaPrakash (ECR 10),Monday,09:25 – 10:20,CE3113; ECR 10,,,ECR10
