line_no,section_context,raw_line,days,time_ranges,course_codes,professors,groups,rooms
670,3rd Year — Semester 3-1 (2021 Batch) > Friday > Section: ME (13),- **09:25 – 10:20 a.m.**: ME3104 (T) (Heat and Mass Transfer) Dr. Sebastian (ECR 14),Friday,09:25 – 10:20,ECR 14; ME3104,Dr. Sebastian,,ECR14
671,3rd Year — Semester 3-1 (2021 Batch) > Friday > Section: ME (13),- **10:35-11:30 a.m**: ME3113 (T) (Design of Machine Elements) Dr. Kondaiah (ECR 14),Friday,10:35-11:30,ECR 14; ME3113,Dr. Kondaiah,,ECR14
672,3rd Year — Semester 3-1 (2021 Batch) > Friday > Section: ME (13),- **1:35 -2:30p.m.**: ME3108 (P) (Metrology and CAM),Friday,1:35 -2,ME3108,,,
676,3rd Year — Semester 3-1 (2021 Batch) > Friday > Section: MT (20),- **09:25 – 10:20 a.m.**: MT3105 (T) (Power Electronics and Control System) Dr. Pavani (ECR 12),Friday,09:25 – 10:20,ECR 12; MT3105,Dr. Pavani,,ECR12
677,3rd Year — Semester 3-1 (2021 Batch) > Friday > Section: MT (20),- **1:35 -2:30p.m.**: MT3107 (BioMedical Instrumentation) Dr. Ashish Kumar Sahu (ECR 8),Friday,1:35 -2,MT3107,Dr. Ashish Kumar Sahu,,ECR8
681,3rd Year — Semester 3-1 (2021 Batch) > Friday > Section: NT (6),- **08:25 – 9:20 a.m.**: CH3106 (Molecular Spectroscopy) Dr. Venkataraman (ECR 12),Friday,08:25 – 9:20,CH3106; ECR 12,Dr. Venkataraman,,ECR12
682,3rd Year — Semester 3-1 (2021 Batch) > Friday > Section: NT (6),- **09:25 – 10:20 a.m.**: PH3102 (Nano  Photonics)  Dr. Jayasri Dontabhaktuni (ECR 10),Friday,09:25 – 10:20,ECR 10; PH3102,Dr. Jayasri Dontabhaktuni,,ECR10
683,3rd Year — Semester 3-1 (2021 Batch) > Friday > Section: NT (6),- **10:35-11:30 a.m**: MA3115 (T) (Computational Methods for PDE) Dr. Satyanarayan (ECR-10),Friday,10:35-11:30,ECR-10; MA3115,Dr. Satyanarayan,,ECR10
684,3rd Year — Semester 3-1 (2021 Batch) > Friday > Section: NT (6),- **5:35 pm - 6:30 pm**: PH3101 (Advanced Nanomaterials and Devices)  Dr. Anil Annandi (ECR 8),Friday,5:35 pm - 6:30 pm,PH3101,Dr. Anil Annandi,,ECR8
690,3rd Year — Semester 3-1 (2021 Batch) > Saturday > Section: CSE1 (62) (265 students),- **11:35 am- 12:30 pm**: CS/AI 3101(Design and Analysis of Algorithms) Dr. Tauheed (AUDITORIUM),Saturday,11:35 am- 12:30 pm,CS/AI 3101,Dr. Tauheed,,Auditorium
704,3rd Year — Semester 3-1 (2021 Batch) > Saturday > Section: AI1 (65),- **1:35 -2:30p.m.**: AI 3107 (P) (T2 Digital Image processing) (IT2 block),Saturday,1:35 -2,AI 3107,,,IT2 Block
722,4th Year — Semester 4-1 (2020 Batch),**Time Slots:** 08:25 – 9:20 a.m. | 09:25 – 10:20 a.m. | 10:35-11:30 a.m | 11:35 am-12.30 pm | 12:35 am-1.30 pm | 1:35 PM 2:30p.m. | 2:35 -3:30 p.m. | 3:35 -4:30 p.m. | 4:35 -5:30 p.m. | 5:35-6:30 p.m. | Branch,Saturday,08:25 – 9:20; 09:25 – 10:20; 10:35-11:30; 11:35 am-12; 12:35 am-1; 2:35 -3:30; 3:35 -4:30; 4:35 -5:30; 5:35-6:30,,,,
728,4th Year — Semester 4-1 (2020 Batch) > Monday > Section: CSE1 (62) (255 students),- **08:25 – 9:20 a.m.**: CS4101 (Distributed Systems) Dr. Satish (ELT 1),Monday,08:25 – 9:20,CS4101,Dr. Satish,,ELT1
729,4th Year — Semester 4-1 (2020 Batch) > Monday > Section: CSE1 (62) (255 students),- **09:25 – 10:20 a.m.**: CS4102 (Compiler Design) Dr. Veeraiah (ELT 2),Monday,09:25 – 10:20,CS4102,Dr. Veeraiah,,ELT2
730,4th Year — Semester 4-1 (2020 Batch) > Monday > Section: CSE1 (62) (255 students),- **10:35-11:30 a.m**: CS4103 (Cryptography & Network Security) Dr. Ragu (ELT 5),Monday,10:35-11:30,CS4103,Dr. Ragu,URITY,ELT5
731,4th Year — Semester 4-1 (2020 Batch) > Monday > Section: CSE1 (62) (255 students),- **11:35 am-12.30 pm**: HS4101 (Short film making) Dr. Ani Thomas (ETR-4) / HS4108 (Urban Studies: Reading the City) Dr. Paromita Bose (ECR-13)/ HS4105 (Launching & Scaling Up New Ventures) Dr. Rajkumar Phatate (ECR-16)/ HS3003 (Consumer Behaviour) Dr. Shivdasini (ECR-3)/ HS3011 (Academic Writing) Dr. Pankaj Narke (ECR-2)/ HS3205 (Interpersonal Communication) Dr. Tabitha  Chekuri (ECR-1)/ HS3010 (Enterprise Risk Management - Level 1) RM Team(ELT-2)/ HS4109 (Introduction to Linguistics) Dr. Salome Benhur (ECR-4)/ HS4110 (Negotiation Skills) Dr. Rama Krishna velamuri (ELT-6),Monday,11:35 am-12,ECR-13; ECR-16; HS3003; HS3010; HS3011; HS3205; HS4101; HS4105; HS4108; HS4109; HS4110,Dr. Ani Thomas; Dr. Pankaj Narke; Dr. Paromita Bose; Dr. Rajkumar Phatate; Dr. Rama Krishna; Dr. Salome Benhur; Dr. Shivdasini; Dr. Tabitha Chekuri,,ECR1; ECR13; ECR16; ECR2; ECR3; ECR4; ELT2; ELT6; ETR4
732,4th Year — Semester 4-1 (2020 Batch) > Monday > Section: CSE1 (62) (255 students),- **1:35 PM 2:30p.m.**: AI 4103 (T4**: Computational Genomics) Dr. Nemade (Auditorium),Monday,,AI 4103,Dr. Nemade,,Auditorium
733,4th Year — Semester 4-1 (2020 Batch) > Monday > Section: CSE1 (62) (255 students),- **2:35 -3:30 p.m.**: AI 4102 (T3**: Reinforcement Learning) Dr. Saha (ELT 3),Monday,2:35 -3:30,AI 4102,Dr. Saha,,ELT3
734,4th Year — Semester 4-1 (2020 Batch) > Monday > Section: CSE1 (62) (255 students),- **3:35 -4:30 p.m.**: Batch 8   CS4183 (Quantum Computing and Quantum Machine Learning) Dr. Om Prakash (ECR 15)/MA4124 (Quantum Computing) Dr. Jayashri D (ECR 16),Monday,3:35 -4:30,CS4183; ECR 15; ECR 16; MA4124,Dr. Jayashri; Dr. Om Prakash,CS4183,ECR15; ECR16
735,4th Year — Semester 4-1 (2020 Batch) > Monday > Section: CSE1 (62) (255 students),- **4:35 -5:30 p.m.**: AI4101 (T1**: | Computational Sequence Modeling) Dr. Rahul (Auditorium),Monday,4:35 -5:30,AI4101,Dr. Rahul,,Auditorium
736,4th Year — Semester 4-1 (2020 Batch) > Monday > Section: CSE1 (62) (255 students),- **5:35-6:30 p.m.**: Batch 3  ME4058 (IC Engines)(32) Dr. Bhaskar (ETR 3)/  | BT4034 (Cosmeceuticals & Skincare) Dr. varun Kumar (114) (ECR 7),Monday,5:35-6:30,BT4034; ME4058,Dr. Bhaskar,ME4058,ECR7; ETR3
737,4th Year — Semester 4-1 (2020 Batch) > Monday > Section: CSE1 (62) (255 students),- **Branch**: CSE1 (62),Monday,,,,,
741,4th Year — Semester 4-1 (2020 Batch) > Monday > Section: CSE2 (62),- **Branch**: CSE2 (62),Monday,,,,,
745,4th Year — Semester 4-1 (2020 Batch) > Monday > Section: CSE3 (62),- **Branch**: CSE3 (62),Monday,,,,,
749,4th Year — Semester 4-1 (2020 Batch) > Monday > Section: CSE4 (60),- **Branch**: CSE4 (60),Monday,,,,,
753,4th Year — Semester 4-1 (2020 Batch) > Monday > Section: CM (36),- **09:25 – 10:20 a.m.**: MA4125 (Dynamical Systems) Dr. jai Prakash (ETR 3),Monday,09:25 – 10:20,MA4125,,,ETR3
754,4th Year — Semester 4-1 (2020 Batch) > Monday > Section: CM (36),- **10:35-11:30 a.m**: Batch1  CE4083 (Industrial waste management)(34) (ETR 4) Dr. Kirthi /EC4135(Customer Experience Design)(42) Dr. Preeti Priya(ECR 2))/ME4065(Aerodynamics & flight mechanics)(29) Dr. Debasis (ETR 5)/BT4033(Nano biomaterials for Biomedical Applications)(20) Dr. Manu smriti (ECR 8),Monday,10:35-11:30,BT4033; CE4083; EC4135; ME4065,Dr. Debasis; Dr. Kirthi; Dr. Manu; Dr. Preeti Priya,CE4083,ECR2; ECR8; ETR4; ETR5
755,4th Year — Semester 4-1 (2020 Batch) > Monday > Section: CM (36),- **Branch**: CM (36),Monday,,,,,
759,4th Year — Semester 4-1 (2020 Batch) > Monday > Section: AI1 (60) (262 students),- **1:35 PM 2:30p.m.**: AI 4103 (T4**: Computational Genomics) Dr. Nemade (Auditorium),Monday,,AI 4103,Dr. Nemade,,Auditorium
760,4th Year — Semester 4-1 (2020 Batch) > Monday > Section: AI1 (60) (262 students),- **2:35 -3:30 p.m.**: AI 4102 (T3**: Reinforcement Learning) Dr. Saha (ELT 3),Monday,2:35 -3:30,AI 4102,Dr. Saha,,ELT3
761,4th Year — Semester 4-1 (2020 Batch) > Monday > Section: AI1 (60) (262 students),- **4:35 -5:30 p.m.**: AI4101 (T1**: | Computational Sequence Modeling) Dr. Rahul (Auditorium),Monday,4:35 -5:30,AI4101,Dr. Rahul,,Auditorium
762,4th Year — Semester 4-1 (2020 Batch) > Monday > Section: AI1 (60) (262 students),- **Branch**: AI1 (60),Monday,,,,,
766,4th Year — Semester 4-1 (2020 Batch) > Monday > Section: AI2 (60),- **Branch**: AI2 (60),Monday,,,,,
770,4th Year — Semester 4-1 (2020 Batch) > Monday > Section: AI3 (54),- **Branch**: AI3 (54),Monday,,,,,
774,4th Year — Semester 4-1 (2020 Batch) > Monday > Section: ECM1 (50),- **08:25 – 9:20 a.m.**: CS 3105 (Object oriented programming)  Dr. Gouripriya (ECR 11),Monday,08:25 – 9:20,CS 3105; ECR 11,Dr. Gouripriya,,ECR11
775,4th Year — Semester 4-1 (2020 Batch) > Monday > Section: ECM1 (50),- **09:25 – 10:20 a.m.**: EC 4121 (Hardware/ Software Co-design) Dr. Bharghava (ELT 6),Monday,09:25 – 10:20,EC 4121,Dr. Bharghava,,ELT6
776,4th Year — Semester 4-1 (2020 Batch) > Monday > Section: ECM1 (50),- **1:35 PM 2:30p.m.**: EC 4124 (VLSI Design) Dr. Pooran (ELT 1),Monday,,EC 4124,Dr. Pooran,,ELT1
777,4th Year — Semester 4-1 (2020 Batch) > Monday > Section: ECM1 (50),- **Branch**: ECM1 (50),Monday,,,,,
781,4th Year — Semester 4-1 (2020 Batch) > Monday > Section: ECM2 (47),- **Branch**: ECM2 (47),Monday,,,,,
785,4th Year — Semester 4-1 (2020 Batch) > Monday > Section: EEE (38 students),- **08:25 – 9:20 a.m.**: EE 4101 (Computer  & Communication Network) Dr. Subbarao (ETR 3),Monday,08:25 – 9:20,EE 4101,Dr. Subbarao,,ETR3
786,4th Year — Semester 4-1 (2020 Batch) > Monday > Section: EEE (38 students),- **Branch**: EEE,Monday,,,,,
790,4th Year — Semester 4-1 (2020 Batch) > Monday > Section: ME (45 students),- **08:25 – 9:20 a.m.**: ME4069 (Stream course III)  Dr. Prasad (ECR 8) /CS 3105 (Object oriented programming) Dr. Raghu (ECR-14),Monday,08:25 – 9:20,CS 3105; ECR-14; ME4069,Dr. Prasad; Dr. Raghu,,ECR14; ECR8
791,4th Year — Semester 4-1 (2020 Batch) > Monday > Section: ME (45 students),- **09:25 – 10:20 a.m.**: ME 4109 (Control Theory) Dr. Abhijit (ECR 8),Monday,09:25 – 10:20,ME 4109,Dr. Abhijit,,ECR8
792,4th Year — Semester 4-1 (2020 Batch) > Monday > Section: ME (45 students),- **Branch**: ME,Monday,,,,,
796,4th Year — Semester 4-1 (2020 Batch) > Monday > Section: CE (32 students),- **09:25 – 10:20 a.m.**: CE 4117 (Construction Planing and Managment) Dr. Deepti (ETR 4),Monday,09:25 – 10:20,CE 4117,Dr. Deepti,,ETR4
797,4th Year — Semester 4-1 (2020 Batch) > Monday > Section: CE (32 students),- **1:35 PM 2:30p.m.**: CE 4116 (Design of steel structures) Dr. Md Ataullah (ETR 4),Monday,,CE 4116,Dr. Md Ataullah,,ETR4
798,4th Year — Semester 4-1 (2020 Batch) > Monday > Section: CE (32 students),- **Branch**: CE,Monday,,,,,
804,4th Year — Semester 4-1 (2020 Batch) > Tuesday > Section: CSE1 (62) (255 students),- **08:25 – 9:20 a.m.**: CS4102 (Compiler Design) Dr. Veeraiah (ELT 2),Tuesday,08:25 – 9:20,CS4102,Dr. Veeraiah,,ELT2
805,4th Year — Semester 4-1 (2020 Batch) > Tuesday > Section: CSE1 (62) (255 students),- **09:25 – 10:20 a.m.**: CS4103 (Cryptography & Network Security) Dr. Ragu (ELT 2),Tuesday,09:25 – 10:20,CS4103,Dr. Ragu,URITY,ELT2
806,4th Year — Semester 4-1 (2020 Batch) > Tuesday > Section: CSE1 (62) (255 students),- **10:35-11:30 a.m**: CS4101 (Distributed Systems) Dr. Satish (ELT 2),Tuesday,10:35-11:30,CS4101,Dr. Satish,,ELT2
807,4th Year — Semester 4-1 (2020 Batch) > Tuesday > Section: CSE1 (62) (255 students),- **11:35 am-12.30 pm**: AI4101 (T1**:Computational Sequence Modeling) Dr. Rahul (ELT 3),Tuesday,11:35 am-12,AI4101,Dr. Rahul,,ELT3
808,4th Year — Semester 4-1 (2020 Batch) > Tuesday > Section: CSE1 (62) (255 students),- **1:35 PM 2:30p.m.**: Batch 4            EC4126 (Design of Solar Photovoltaic Systems) Dr. Sreedhar Madichetty (14) (ETR 3)  | / CE4094 (Instrumentation for Infrastructure applications)(49)  Dr. Hari Prasad(ECR 16)  | /CS4157 (Deep Learning) (180)  Dr. Arya(ELT 5),Tuesday,,CE4094; CS4157; EC4126; ECR 16,Dr. Arya; Dr. Hari Prasad; Dr. Sreedhar Madichetty,EC4126,ECR16; ELT5; ETR3
809,4th Year — Semester 4-1 (2020 Batch) > Tuesday > Section: CSE1 (62) (255 students),- **2:35 -3:30 p.m.**: Batch 3          ME4058  (IC Engines) Dr. Bhaskar(32) (ETR 3)/  | BT4034 (Cosmeceuticals & Skincare) (114) Dr. Manu Smriti (ECR 15),Tuesday,2:35 -3:30,BT4034; ECR 15; ME4058,Dr. Bhaskar; Dr. Manu Smriti,ME4058,ECR15; ETR3
810,4th Year — Semester 4-1 (2020 Batch) > Tuesday > Section: CSE1 (62) (255 students),- **3:35 -4:30 p.m.**: Batch 8   CS4183 (Quantum Computing and Quantum Machine Learning) Dr. OM Prakash (ECR 15)/MA4124 (Quantum Computing) Dr. Jayashri D (ECR 16),Tuesday,3:35 -4:30,CS4183; ECR 15; ECR 16; MA4124,Dr. Jayashri,CS4183,ECR15; ECR16
811,4th Year — Semester 4-1 (2020 Batch) > Tuesday > Section: CSE1 (62) (255 students),- **4:35 -5:30 p.m.**: HS4101 (Short film making) Dr. Ani Thomas (ECR-16)/ HS4108 (Urban Studies: Reading the City) Dr. Paromita Bose (ECR-13)/ HS4105 (Launching & Scaling Up New Ventures) Dr. Rajkumar Phatate (ECR-8)/ HS3003 (Consumer Behaviour) Dr. Shivdasini (ECR-10)/ HS3011 (Academic Writing) Dr. Pankaj Narke (ECR-12)/ HS3205 (Interpersonal Communication) Dr. Tabitha Chekuri (ECR-14)/ HS3010 (Enterprise Risk Management - Level 1) RM Team (ELT-6)/ HS4109 (Introduction to Linguistics) Dr. Salome Benhur (ECR-9)/ HS4110 (Negotiation Skills) Dr. Rama Krishna velamuri (ECR-3),Tuesday,4:35 -5:30,ECR-10; ECR-12; ECR-13; ECR-14; ECR-16; HS3003; HS3010; HS3011; HS3205; HS4101; HS4105; HS4108; HS4109; HS4110,Dr. Ani Thomas; Dr. Pankaj Narke; Dr. Paromita Bose; Dr. Rajkumar Phatate; Dr. Rama Krishna; Dr. Salome Benhur; Dr. Shivdasini; Dr. Tabitha Chekuri,,ECR10; ECR12; ECR13; ECR14; ECR16; ECR3; ECR8; ECR9; ELT6
812,4th Year — Semester 4-1 (2020 Batch) > Tuesday > Section: CSE1 (62) (255 students),- **5:35-6:30 p.m.**: Batch 9 EC4125 (Industrial Engineering) Dr. JL Bhattacharya (ECR 1),Tuesday,5:35-6:30,EC4125,,EC4125,ECR1
813,4th Year — Semester 4-1 (2020 Batch) > Tuesday > Section: CSE1 (62) (255 students),- **Branch**: CSE1 (62),Tuesday,,,,,
817,4th Year — Semester 4-1 (2020 Batch) > Tuesday > Section: CSE2 (62),- **Branch**: CSE2 (62),Tuesday,,,,,
821,4th Year — Semester 4-1 (2020 Batch) > Tuesday > Section: CSE3 (62),- **Branch**: CSE3 (62),Tuesday,,,,,
825,4th Year — Semester 4-1 (2020 Batch) > Tuesday > Section: CSE4 (64),- **Branch**: CSE4 (64),Tuesday,,,,,
829,4th Year — Semester 4-1 (2020 Batch) > Tuesday > Section: CM (36),- **08:25 – 9:20 a.m.**: Batch1  CE4083(Industrial waste management)(34) Dr. Kirthi (ETR 5) / | EC4135(Customer Experience Design) (42) Dr. Preeti Priya(ECR 3) | /ME4065(Aerodynamics & flight mechanics) (29) Dr. Debasis (ECR 12) | /BT4033(Nano biomaterials for Biomedical Applications) (20) Dr. Manu Smrithi (ECR 8),Tuesday,08:25 – 9:20,BT4033; CE4083; EC4135; ECR 12; ME4065,Dr. Debasis; Dr. Kirthi; Dr. Manu Smrithi; Dr. Preeti Priya,CE4083,ECR12; ECR3; ECR8; ETR5
830,4th Year — Semester 4-1 (2020 Batch) > Tuesday > Section: CM (36),- **09:25 – 10:20 a.m.**: MA4125 (Dynamical Systems) Dr. Jai Prakash (ECR 14),Tuesday,09:25 – 10:20,ECR 14; MA4125,Dr. Jai Prakash,,ECR14
831,4th Year — Semester 4-1 (2020 Batch) > Tuesday > Section: CM (36),- **Branch**: CM (36),Tuesday,,,,,
835,4th Year — Semester 4-1 (2020 Batch) > Tuesday > Section: AI1 (60) (262 students),- **11:35 am-12.30 pm**: AI4101 (T1**:Computational Sequence Modeling) Dr. Rahul (ELT 3),Tuesday,11:35 am-12,AI4101,Dr. Rahul,,ELT3
836,4th Year — Semester 4-1 (2020 Batch) > Tuesday > Section: AI1 (60) (262 students),- **Branch**: AI1 (60),Tuesday,,,,,
840,4th Year — Semester 4-1 (2020 Batch) > Tuesday > Section: AI2 (60),- **Branch**: AI2 (60),Tuesday,,,,,
844,4th Year — Semester 4-1 (2020 Batch) > Tuesday > Section: AI3 (54),- **Branch**: AI3 (54),Tuesday,,,,,
848,4th Year — Semester 4-1 (2020 Batch) > Tuesday > Section: ECM1 (50),- **09:25 – 10:20 a.m.**: EC 4121 (Hardware/ Software Co-design) Dr. Bharghava (ELT 6),Tuesday,09:25 – 10:20,EC 4121,Dr. Bharghava,,ELT6
849,4th Year — Semester 4-1 (2020 Batch) > Tuesday > Section: ECM1 (50),- **10:35-11:30 a.m**: EC 4124 (VLSI Design) Dr. Pooran (ECR 15),Tuesday,10:35-11:30,EC 4124; ECR 15,Dr. Pooran,,ECR15
850,4th Year — Semester 4-1 (2020 Batch) > Tuesday > Section: ECM1 (50),- **11:35 am-12.30 pm**: CS 3105 (Object oriented programming) Dr. Veeraiah (ELT 4),Tuesday,11:35 am-12,CS 3105,Dr. Veeraiah,,ELT4
851,4th Year — Semester 4-1 (2020 Batch) > Tuesday > Section: ECM1 (50),- **Branch**: ECM1 (50),Tuesday,,,,,
855,4th Year — Semester 4-1 (2020 Batch) > Tuesday > Section: ECM2 (47),- **Branch**: ECM2 (47),Tuesday,,,,,
859,4th Year — Semester 4-1 (2020 Batch) > Tuesday > Section: EEE (38 students),- **Branch**: EEE,Tuesday,,,,,
863,4th Year — Semester 4-1 (2020 Batch) > Tuesday > Section: ME (41 students),- **11:35 am-12.30 pm**: ME 4109 (Control Theory) Dr. Abhijit (ECR 10),Tuesday,11:35 am-12,ECR 10; ME 4109,Dr. Abhijit,,ECR10
864,4th Year — Semester 4-1 (2020 Batch) > Tuesday > Section: ME (41 students),- **Branch**: ME,Tuesday,,,,,
868,4th Year — Semester 4-1 (2020 Batch) > Tuesday > Section: CE (32 students),- **Branch**: CE,Tuesday,,,,,
874,4th Year — Semester 4-1 (2020 Batch) > Wednesday > Section: CSE1 (62) (255 students),- **08:25 – 9:20 a.m.**: CS4103 (Cryptography & Network Security) Dr. Ragu (ELT 5),Wednesday,08:25 – 9:20,CS4103,Dr. Ragu,URITY,ELT5
875,4th Year — Semester 4-1 (2020 Batch) > Wednesday > Section: CSE1 (62) (255 students),- **09:25 – 10:20 a.m.**: CS4102 (Compiler Design) Dr. Veeraiah (ELT 5),Wednesday,09:25 – 10:20,CS4102,Dr. Veeraiah,,ELT5
876,4th Year — Semester 4-1 (2020 Batch) > Wednesday > Section: CSE1 (62) (255 students),- **10:35-11:30 a.m**: CS4101 (Distributed Systems) Dr. Satish (ELT 5),Wednesday,10:35-11:30,CS4101,Dr. Satish,,ELT5
877,4th Year — Semester 4-1 (2020 Batch) > Wednesday > Section: CSE1 (62) (255 students),- **11:35 am-12.30 pm**: AI4101 (T1**: | Computational Sequqnce Modeling) Dr. Rahul (ELT 4),Wednesday,11:35 am-12,AI4101,Dr. Rahul,,ELT4
878,4th Year — Semester 4-1 (2020 Batch) > Wednesday > Section: CSE1 (62) (255 students),- **1:35 PM 2:30p.m.**: Batch 10       ME4060 (Introduction to Systems Engineering) Dr. Bhaskar (ECR 15),Wednesday,,ECR 15; ME4060,Dr. Bhaskar,ME4060,ECR15
879,4th Year — Semester 4-1 (2020 Batch) > Wednesday > Section: CSE1 (62) (255 students),- **2:35 -3:30 p.m.**: Seminars/Worshops,Wednesday,2:35 -3:30,,,,
880,4th Year — Semester 4-1 (2020 Batch) > Wednesday > Section: CSE1 (62) (255 students),- **4:35 -5:30 p.m.**: Batch 4  | EC4126 (Design of Solar Photovoltaic Systems) (14) Dr. sreedhar Madichetty (ETR 3)  | / CE4094 (Instrumentation for Infrastructure applications) (49)Dr. Hari Prasad (ECR 16)  | /CS4157 (Deep Learning)(180) Dr. Arya (ELT 5),Wednesday,4:35 -5:30,CE4094; CS4157; EC4126; ECR 16,Dr. Arya; Dr. Hari Prasad,,ECR16; ELT5; ETR3
881,4th Year — Semester 4-1 (2020 Batch) > Wednesday > Section: CSE1 (62) (255 students),- **5:35-6:30 p.m.**: CS4101 (P) (Distributed Systems) Dr. Satish (IT block 2),Wednesday,5:35-6:30,CS4101,Dr. Satish,,IT Block
885,4th Year — Semester 4-1 (2020 Batch) > Wednesday > Section: CSE2 (62),- *(No classes scheduled)*,Wednesday,,,,ES SCHEDULED,
889,4th Year — Semester 4-1 (2020 Batch) > Wednesday > Section: CSE3 (62),- **5:35-6:30 p.m.**: CS4101 (P) (Distributed Systems) Dr. Satish (IT block 2),Wednesday,5:35-6:30,CS4101,Dr. Satish,,IT Block
893,4th Year — Semester 4-1 (2020 Batch) > Wednesday > Section: CSE4 (64),- *(No classes scheduled)*,Wednesday,,,,ES SCHEDULED,
897,4th Year — Semester 4-1 (2020 Batch) > Wednesday > Section: CM (36),- **10:35-11:30 a.m**: Batch1  CE4083(Industrial waste management)(34) Dr. Kirthi (ETR 5) / | EC4135(Customer Experience Design)(42) Dr. Preeti Priya (ECR 10) | /ME4065(Aerodynamics & flight mechanics)(29) Dr. Debasis(ECR 8) | /BT4033(Nano biomaterials for Biomedical Applications)(20) Dr. Manu Smrithi (ECR 16),Wednesday,10:35-11:30,BT4033; CE4083; EC4135; ECR 10; ECR 16; ME4065,Dr. Debasis; Dr. Kirthi; Dr. Manu Smrithi; Dr. Preeti Priya,CE4083,ECR10; ECR16; ECR8; ETR5
898,4th Year — Semester 4-1 (2020 Batch) > Wednesday > Section: CM (36),- **11:35 am-12.30 pm**: MA4125 (Dynamical Systems) Dr. J Prakash(ETR 5),Wednesday,11:35 am-12,MA4125,,,ETR5
899,4th Year — Semester 4-1 (2020 Batch) > Wednesday > Section: CM (36),- **Branch**: CM (36),Wednesday,,,,,
903,4th Year — Semester 4-1 (2020 Batch) > Wednesday > Section: AI1 (60) (262 students),- **11:35 am-12.30 pm**: AI4101 (T1**: | Computational Sequence Modeling) Dr. Rahul (ELT 4),Wednesday,11:35 am-12,AI4101,Dr. Rahul,,ELT4
904,4th Year — Semester 4-1 (2020 Batch) > Wednesday > Section: AI1 (60) (262 students),- **Branch**: AI1 (60),Wednesday,,,,,
908,4th Year — Semester 4-1 (2020 Batch) > Wednesday > Section: AI2 (60),- **Branch**: AI2 (60),Wednesday,,,,,
912,4th Year — Semester 4-1 (2020 Batch) > Wednesday > Section: AI3 (54),- **Branch**: AI3 (54),Wednesday,,,,,
916,4th Year — Semester 4-1 (2020 Batch) > Wednesday > Section: ECM1 (50),- **08:25 – 9:20 a.m.**: EC 4121 (Hardware/ Software Co-design) Dr. Bharghava (ELT 6),Wednesday,08:25 – 9:20,EC 4121,Dr. Bharghava,,ELT6
917,4th Year — Semester 4-1 (2020 Batch) > Wednesday > Section: ECM1 (50),- **09:25 – 10:20 a.m.**: EC 4124 (VLSI Design) Dr. Pooran (ECR 15),Wednesday,09:25 – 10:20,EC 4124; ECR 15,Dr. Pooran,,ECR15
918,4th Year — Semester 4-1 (2020 Batch) > Wednesday > Section: ECM1 (50),- **Branch**: ECM1 (50),Wednesday,,,,,
922,4th Year — Semester 4-1 (2020 Batch) > Wednesday > Section: ECM2 (47),- **Branch**: ECM2 (47),Wednesday,,,,,
926,4th Year — Semester 4-1 (2020 Batch) > Wednesday > Section: EEE (38 students),- **Branch**: EEE,Wednesday,,,,,
930,4th Year — Semester 4-1 (2020 Batch) > Wednesday > Section: ME (41 students),- **08:25 – 9:20 a.m.**: ME 4109 (Control Theory) Dr. Abhijit (ECR 14),Wednesday,08:25 – 9:20,ECR 14; ME 4109,Dr. Abhijit,,ECR14
931,4th Year — Semester 4-1 (2020 Batch) > Wednesday > Section: ME (41 students),- **Branch**: ME,Wednesday,,,,,
935,4th Year — Semester 4-1 (2020 Batch) > Wednesday > Section: CE (32 students),- **09:25 – 10:20 a.m.**: CE 4116 (Design of steel strutures) Dr. Md Ataullah (ECR 16),Wednesday,09:25 – 10:20,CE 4116; ECR 16,Dr. Md Ataullah,,ECR16
936,4th Year — Semester 4-1 (2020 Batch) > Wednesday > Section: CE (32 students),- **11:35 am-12.30 pm**: CE 4117 (Construction Planing and Managment) Dr. Sandeepan (ECR 16),Wednesday,11:35 am-12,CE 4117; ECR 16,Dr. Sandeepan,,ECR16
937,4th Year — Semester 4-1 (2020 Batch) > Wednesday > Section: CE (32 students),- **Branch**: CE,Wednesday,,,,,
943,4th Year — Semester 4-1 (2020 Batch) > Thursday > Section: CSE1 (62) (255 students),- **08:25 – 9:20 a.m.**: AI 4102 (T3**: Reinforcement Learning) Dr. Saha (ELT-4),Thursday,08:25 – 9:20,AI 4102,Dr. Saha,,ELT4
944,4th Year — Semester 4-1 (2020 Batch) > Thursday > Section: CSE1 (62) (255 students),- **09:25 – 10:20 a.m.**: AI 4103 (T4**: Computational Genomics) Dr. Nemade (ELT 4),Thursday,09:25 – 10:20,AI 4103,Dr. Nemade,,ELT4
945,4th Year — Semester 4-1 (2020 Batch) > Thursday > Section: CSE1 (62) (255 students),- **10:35-11:30 a.m**: Batch 10       ME4060 (Introduction to Systems Engineering) Dr. Bhaskar (ECR-15),Thursday,10:35-11:30,ECR-15; ME4060,Dr. Bhaskar,ME4060,ECR15
946,4th Year — Semester 4-1 (2020 Batch) > Thursday > Section: CSE1 (62) (255 students),- **11:35 am-12.30 pm**: Batch 6           CS4164 (Wireless Sensor Networks) Dr. Rama Murthy Garimela (ECR-8),Thursday,11:35 am-12,CS4164,Dr. Rama Murthy Garimela,CS4164,ECR8
